title,description,place,tags,frequency,heurPrincip,severity,evaluator,ofProject
Keith Lockhart (baseball),keith virgil lockhart born november 10 1964 in whittier california is a retired second baseman and third baseman who played for 10 seasons in the major leagues from 19942003lockhart a lefthanded batter played college baseball at oral roberts university and was originally drafted by cincinnati reds in the 11th round of the 1986 amateur draft he spent 8 full seasons in the minor league systems of three different organizations before earning a spot on the san diego padres opening day roster in 1994 he played in 27 games with the padres in his first year before leaving as a free agent and signing with the kansas city royals during the 1994 seasonlockhart played for the royals in both 1995 and 1996 in his first season he batted a career best 321 earning him a role as a platoon player in 1996 sharing time at second base with bip roberts and at third base with joe randa and craig paquette lockhart hit 273 and drove in 55 runsshortly before the start of the 1997 season lockhart and outfielder michael tucker were traded to the atlanta braves for outfielder jermaine dye and rule v selection jamie walkerlockhart stayed in atlanta for 6 seasons from 1997 to 2002 he primarily served as a reserve second baseman and also served as a pinch hitter contributing 59 pinch hits as a brave he served as a platoon player on two occasions with the braves in 1998 a year which saw the braves win a teamrecord 106 games lockhart platooned with tony graffanino while in 2002 he platooned with mark derosa following an injury to marcus gileshe came close to being the hero of the braves epic struggle with the new york mets in game 5 of the 1999 nlcs lockhart who came into the game as a replacement after bret boone was pinchrun for hit an rbi triple in the 15th inning to give the braves a 32 lead the lead was squandered in the bottom of the inning however after a bases loaded walk tied the game robin venturas famed grand slam single would later win it for the metsin 2003 he returned to san diego for what would be his last major league season and served as the backup to mark loretta he retired at seasons end with a 261 career batting average 44 career home runs and 268 runs batted inlockhart was the final out of the 1999 world series he flied out to left fieldin 2011 his son danny became a 10th round draft pick for the cubs and has signed with their farm team,Keith Lockhart (baseball),Keith Lockhart (baseball),1,4,3, user3,p2
Jo%C3%A3o Gilberto Noll,joo gilberto noll is a brazilian writer born on april 15 1946 in porto alegre in the southern brazilian state of rio grande do sulhis early years were spent studying at the catholic colgio so pedro in 1967 he began university coursework in literature at the ufrgsfederal university of rio grande do sul but in 1969 he interrupted his studies to pursue a career as a journalist in rio de janeiro working for the newspapers folha da manh and ltima hora in 1970 noll spent a year in so paulo working as a copyeditor at the publishing house editora nacional but a year later he moved back to rio and resumed both his work in journalism at ltima hora writing on literature theater and music and his university studies in literature first at the faculdade notre dame and then at the pucrio where he received his degree in 1979noll published his first short story as part of a 1970 porto alegre anthology entitled roda de fogo but his more formal literary debut came in 1980 when his first book of short stories o cego e a danarina english title the blind man and the dancer was released for which he received three literary prizes one of nolls short stories from o cego e a danarina alguma coisa urgentemente something urgent was the basis for the film nunca fomos to felizes english title weve never been so happy in 1983 directed by murilo salles and starring the actor claudio marzonoll received early international attention as a participant in the writers program at the university of iowa in 1982 and when his work appeared in an anthology of new brazilian writers published in germany in 1983 after a short visit to the university of california berkeley in 1996 he was invited to teach brazilian literature there in 1997 he was an invited scholar for a rockefeller foundation seminar in bellagio italy was the recipient of a guggenheim fellowship in 2002 and spent a twomonth writing residency at the centre for the study of brazilian culture society at kings college london in 2004 all of these experiences were to shape the subject matter of later workshis first collection of stories was followed by the novels a fria do corpo 1981 bandoleiros 1985 and rastros do vero 1986 two of his subsequent and perhaps bestknown works the novels hotel atlantico 1989 and harmada 1993 later came out in a 1997 english edition translated by david treece and published by boulevard books in london another novel entitled o quieto animal da esquina appeared in 1991from 1998 to 2001 noll published a twiceweekly series of short stories in the major so paulo daily folha de so paulo and in 2004 he began to publish longer stories every two weeks in the daily correio braziliense published in the federal capital brasliahis most recent works include the novels a cu aberto 1996 canoas e marolas 1999 berkeley em bellagio 2002 lorde 2004 and acenos e afagos 2008 as well as the collections of short stories mnimos mltiplos comuns 2003 and a mquina de ser 2006he now lives in porto alegre,Jo%C3%A3o Gilberto Noll,Jo%C3%A3o Gilberto Noll,5,4,1,user1,p2
Moshik Roth,moshik roth hebrew is an israeli chef and is head chef of restaurant samhoud places in amsterdam the netherlands which holds two michelin starsborn in 1972 in haifa to a russian father and a romanian mother roth was raised in eilat and afterwards in yavne after completing his military service in the idf he went to eilat intending to learn hotel management and met his future wife els when he was 23 els went back to her homeland in the netherlands and roth followed her there his first job was as pizzeria manager after a while he studied in jonnie boers restaurant de librije from there he continued to apprentice in the zwethheul restaurant near rotterdam today both restaurants holds three stars in the michelin guide and afterwards he opened his own restaurant t brouwerskolkje where he was the chef and his wife was the sommelier the restaurant is located in a house which once was a pancake storet brouwerskolkje restaurant got its first michelin star in 2006 and the second in 2009 roth closed the restaurant on april 14 2012on august 15 2012 he opened samhoud places in amsterdam together with entrepreneur salem samhoud the restaurant received two michelin stars in november 2012roth used to go frequently to alsace to work together with chef jean georges klein chef and owner of restaurant larnsbourg in alsace france and some of the dishes in both restaurants are similar the preparation of the food combined classical and molecular gastronomy techniques,Moshik Roth,Moshik Roth,5,2,2,user1,p2
Ver%C3%B3nica Romeo,vernica romero is a spanish singer who rose to fame in 2001 after appearing on the reality singing contest operacin triunfo in which she finished in sixth place among the songs she performed on the program were youd better stop unbreak my heart regresa a m and one day ill fly awayhaving already sold more than 250000 albums in spain romeo is attempting successes in the american market since 2001 she has gained fans worldwide and has multiplatinum sales and several awardsin 2005 she moved to london where she studied drama and took dancing lessons she also improved her songwriting skills and wrote her third album serotonina that year she founded her label vk 48 music in 2006 she released serotonina and her single conectado a mi was given a platinum award by msn microsoft as the most downloaded single in msn history veronica is the winner of the golden minute in spain where 15 million viewers tuned in to watch her she is deeply involved in every single aspect of the creation of her work from singing all of her backing vocals to overseeing treatment of the instruments as well as their recording until to the final mix she moved to miami where she worked with rodolfo castillo santana bacilos chayanne julio iglesias iker gastaminza shakira chayanne daniel ricky martin bacilos dan warner madonna rihanna timbaland nelly furtado justin timberlake shakira mika lee levin shakira barbra streisand pnk julio iglesias and began cowriting and collaborating with nina ossof daughtry high school musical elsten torres luis fonsi julio iglesias jr jim camacho john legend alicia keys john m flacone shakira gloria estefan in january 2010 she moved to los angelesromeo is a voting member of naras and laras which presents the recording industrys most prestigious awards the grammy and latin grammy,Ver%C3%B3nica Romeo,Ver%C3%B3nica Romeo,3,5,2,user1,p2
Daniil Tsyplakov,daniil tsyplakov russian born 29 july 1992 is a russian track and field athlete who competes in the high jumpborn in khabarovsk krai tsyplakovs first international medal came at the 2009 world youth championships in athletics whre he cleared a personal best of 217 m 7 ft 114 in to take the bronze medal he improved further at the 2009 european youth olympics topping the podium with a jump of 221 m 7 ft 3 in he equalled his best to win the 2010 russian junior title but had a poor showing at the 2010 world junior championships in athletics managing only 205 m he jumped a best of 226 m 7 ft 434 in as the runnerup at the russian junior championships the following year but was one place off a medal at the 2011 european athletics junior championships taking fourth place the highlight of his 2012 season was a personal best of 231 m 7 ft 634 in to take sixth place at the russian athletics championshipstsyplakov made his first impacts in the senior ranks in the 2013 season an indoor best of 230 m 7 ft 612 in brought him third at the russian indoor championships on the circuit he was second on countback to bohdan bondarenko at the moscow challenge and came third at the athletissima meet with a jump of 230 m 7 ft 612 in he secured a silver medal in the high jump at the 2013 european athletics u23 championships runnerup to douwe amels on countback and was third at the russian championships later that yeara performance of 234 m 7 ft 8 in at the 2014 russian indoor championships marked him in second place to ivan ukhov and eanred him a spot for the 2014 iaaf world indoor championships,Daniil Tsyplakov,Daniil Tsyplakov,4,10,1, user3,p2
Jonathan Trigell,jonathan trigell born 1974 is a british author his first novel boy a won the john llewellyn rhys prize 2004 the waverton good read award and the inaugural world book day prize in 2008jonathan completed an ma in creative writing at manchester university in 2002 he spent most winters in alps working in the ski industry and now lives in chamonix franceboy a is the story of a child criminal released into society as an adult it has obvious and presumably deliberate parallels to the fates of the murderers of james bulger although the crime itself differs significantlyhighly acclaimed critically boy a was described by sarah waters chair of the judges for the john llewellyn rhys prize as a compelling narrative a beautifully structured piece of writing and a thoughtprovoking novel of ideas its a wonderful debuttrigells follow up cham familiar name of chamonix also acquired by serpents tail publishing house was published in october 2007 and shortlisted for the boardman tasker prizejonathans third work genus about a dystopian divided britain was published in july 2011 it contains chapters describing rioting in london eerily similar to the disturbances that broke out only weeks after publication genus has been optioned for film by matador pictures with mike carey writer attached to write the scripttrigells next novel will be published in september 2014 and is titled the tongues of men or angels in an interview the author described it as a biblical era road movie,Jonathan Trigell,Jonathan Trigell,3,2,5, user3,p2
Stan Aronoff,stanley j aronoff born june 8 1932 is an american politician of the republican party who served for a time as president of the ohio senate aronoff was raised in a jewish family in the north avondale neighborhood of cincinnati and attended high school at walnut hills high school he earned a bachelors degree and a law degree from harvard university after which he returned to cincinnati to enter into the private practice of lawin 1960 ambrose lindhorst the head of the hamilton county republican party walton bachrach mayor of cincinnati and republican operative george eyrich persuaded aronoff to run for a seat in the ohio general assembly he began serving in the ohio house of representatives in 1961 and was reelected twice serving until 1967in 1966 aronoff won a seat in the ohio senate he was reelected in 1968 and again in 1972 in the 1974 primary election he made an unsuccessful bid for the republican nomination for ohio attorney general he won reelection to the senate in 1976 in 1978 aronoff sought the partys nomination for a seat in the united states house of representatives but party bosses endorsed television news broadcaster thearon tom atkins instead it was suspected that with the jewish bill gradison already representing the hamilton county republican party in congress that party leaders shied away from endorsing another jew for cincinnatis other congressional seat nevertheless aronoff prevailed in the republican primary but lost in the general election in a close race to democrat tom lukenby the 1980 elections the republican party achieved a majority in the ohio senate and aronoff was named chairman of the finance committee however the party was again in the minority two years later in the 1984 campaign aronoffs success at fundraising was key to the republican recapture of the senate the senate republican leader was paul gillmor but when gillmor won a seat in congress in 1988 aronoff became president of the senatein 1995 aronoff along with other legislators such as democratic ohio house of representatives speaker vern riffe was the subject of an investigation into fee pancaking the law required that legislators disclose the acceptance of a speaking fee if it is in excess of 500 pancaking involved accepting fees of less than 500 from more than one source for the same event in order to avoid disclosure aronoff pleaded guilty to accepting 4500 in fees from various arms of the limited company without disclosure in violation of this law he was sentenced to community service which he fulfilled by giving lectures to students on government ethicsby 1996 term limits were in effect aronoff was eligible to run for one more term in the senate however he decided to retire from public services he helped found the law firm of aronoff rosen and hunt,Stan Aronoff,Stan Aronoff,4,2,5,user2,p2
Jean-Daniel Fekete,jeandaniel fekete is a french computer scientist working in the fields of information visualization and humancomputer interaction he received his phd from the parissud 11 university in 1996 he obtained his habilitation in 2005 entitled nouvelle gnration dinterfaces hommemachine pour mieux agir et mieux comprendre new generation of human machine interfaces for better interacting and understanding at universit parissud 11 the jury was jolle coutaz prof universit de grenoble ii saul greenberg prof universit de calgary canada ben shneiderman prof university of maryland usa michel beaudouinlafon prof universit parissud 11 jeangabriel ganascia prof universit paris vi guy mlanon prof universit paulvalry montpellier 3universit montpellier iii and claude puech prof universit grenoble i he is currently senior researcher at inria and the founding and current director of the aviz group since 2007he developed the infovis toolkit which is a java toolkit to facilitated the design of information visualization interfacesfrom august 2001 to august 2002 he is visiting scientist at the humancomputer interaction lab hcil at university of maryland college park which he previously visited july to august 1998 to develop excentric labeling along with catherine plaisant as an efficient technique to display hight density of labels on mapsjeandaniel fekete is the current president of afihm the french national equivalent of association for computing machinery sigchi he has served as ieee infovis paper cochair 20092010 and conference chair 2011 he is general chair of the upcoming ieee visweek 2014 paris france,Jean-Daniel Fekete,Jean-Daniel Fekete,3,6,1,user5,p2
Donnie Sadler,donnie lamont sadler born june 17 1975 in clifton texas united states is a former righthanded major league baseball utility player an alumnus of valley mills high school in valley mills texas where he was an allstate shortstop sadler is small in stature standing at only 56 tall and weighing 175 pounds his cousin ray sadler is an outfielder in the tampa bay rays organizationdrafted 229th overall by the boston red sox in 1994 sadler quickly displayed impressive speed in the minor leagues from 1994 to 1996 for example he averaged nearly 36 steals per season while playing in an average of only 95 games each year he earned a spot on the midwest league allstar team in 1995 because he not only stole 41 bases he batted a respectable 283 with nine home runs and 55 rbisadler made his big league debut at the age of 23 in the second game of the 1998 season april 1 although sadlers red sox beat the oakland athletics 20 that game he went 0 for 3 at the plateafter starting the season without collecting a single hit in his first 11 at bats he was quickly sent down and did not see any major league action until july of that year the first hit of his career was quite impressiveit came in his second game after being recalled from pawtucket in julyoff of pitcher jason bere on july 3 he smacked a triple in the sixth inning although he finished the game one for five he did help the red sox beat the chicago white sox 15 to 2he scored one of the red sox many runs in that gamethe rest of his career has seen him bouncing up and down between the minors and majors spending only one season in the majors for the entire year 2001he has been involved in a couple noteworthy transactions in his career the first occurred on november 16 2000 when he and michael coleman were sent to the cincinnati reds for chris stynes the second came on june 20 2001 when the reds traded sadler to the kansas city royals for minor league pitcher cary ammonsso far his career batting average is only 202 and he has not shown the speed he displayed in the minorsthe highest total of stolen bases he has had in a season is seven oddly of the six home runs he has hit in his career three of them came in the first 124 at bats of his career he has hit only three more in 643 at bats sincehis postseason batting average is 500he has collected one hit a double in two at batson july 28 2007 it was announced that sadler had tested positive for a drug of abuse and was handed a 50 game suspensiondonnie is now a hitting coach for the philadelphia phillies organization,Donnie Sadler,Donnie Sadler,3,9,1,user4,p2
Matias Kupiainen,matias kupiainen born 11 may 1983 in helsinki is a finnish guitarist songwriter and record producerkupiainen was chosen as the new guitarist for the finnish power metal band stratovarius after timo tolkkis departure from the band in 2008 he started playing with the band in 2009 on their album polaris for which he composed three songsbesides stratovarius kupiainen has got the band project fist in fetus founded in 2006 and described as mainly grindcore which released a selfproduced ep in 2007 he guested on the 2007 album guitar heroes on the song 12 donkeys that was also released as a single and appeared on the record release concert at tavastia club at the 2007 tuska festival he appeared as the oneman house band of the tv station yle extrakupiainen has also played as a session musician among others on albums of olavi uusivirta and milana misic and worked as a producer recording engineer and mixer as well he has studied at sibelius academy in helsinki and the pop jazz conservatory in oulunkyl he played a prs artist series i guitar and now he is an endorser of ruokangas guitars he currently plays his custom hellcat made of spanish cedar and arctic birch and uses mainly engl hughes and kettner mesaboogie and tc electronic gearkupiainen was a partowner of a recording studio named minor music in helsinki finland until it was merged with 5 by 5 audio,Matias Kupiainen,Matias Kupiainen,4,8,4,user2,p2
Rupert Pennefather,rupert pennefather is a principal dancer in the royal ballet company he was promoted to principal status alongside his pasdedeux partner lauren cuthbertson in june 2008 following wellreceived performances in romeo and juliet at the royal opera houserupert has gained acclaim despite several setbacks including failing the annual assessment at the companys white lodge school at 12 and being asked to leave the arts educational school in tring at 15 rupert continued his training in his home town of maidenhead under julie rose a former royal ballet member and his tenacity saw him accepted into the royal ballet company in 1999 he sustained a tendon injury as a soloist in 2002 and was out of action for 18 months upon full recovery in 2004 he was selected for the principal role of paris in romeo and juliet by prima ballerina sylvie guillem and aminta in sylvia by director dame monica mason which proved to be his breakthroughruperts potential to enter the canon of great british ballet dancers alongside such greats as anthony dowell david wall and jonathan cope is closely coupled with the fact that his peer and pasdedeux partner ms cuthbertson is also britishborn bringing them progressively more attention as the next anthony dowell and antionette sibley in the british media according to jonathan cope they are very much in sync with each other im quite excited about it,Rupert Pennefather,Rupert Pennefather,4,2,5,user1,p2
Arnis Bal%C4%8Dus,arnis balus born 1978 is a latvian photography and video artist born in riga latvia balcus lived and worked in his home town before moving to london united kingdom in 2004 he took an ma course on photography at university of westminster from 2004 to 2005 he is exhibiting his work since 1994 but emerged internationally in 2003 with the photographic series myself friends lovers and others using snapshot aesthetic the series were showing the everyday life of contemporary latvian youth the series had numerous solo shows for instance at giedre bartelt gallery berlin 2003 overgaden copenhagen 2003 fotogalerie wien vienna 2004 state museum of art riga 2004 and matthew bown gallery london 2005in the project episodes the artist was staging various cinematic scenes on the subjects of sex and violence referencing films by russ meyer michael powell and john waters episodes were released as a video and a series of three books vol i 2006 vol ii 2007 and behind the scenes 2007 as well as exhibited as photographs and video in galleries and video festivals in london riga prague and other placesin may 2009 arnis balcus showed his new series amnesia at riga art space in the photographs he was staging various social rituals that have disappeared from the everyday life in latvia due to political and economical changes in the past thirty years the exhibition traveled to ventspils latvia also balcus recent work latvian notes obsesses with ideas of what it is to be latvian he works with landscapes interiors still lives and a reportage to create a narrative of what latvia is in the 21st centuryin september 2009 the artist participated in the exhibition private at the latvian national museum of art in riga with the series contemporary latvians the exhibition was previously shown at winzavod in moscow 2008he addresses issues of identity and gender also in his video works his video xionel 2004 features a confession by a beautiful asian transsexual while balcus latvia 198991 is a photo story created of artists family snapshots from the time latvia regained its independence from ussrbalcus work has also been published in various art and lifestyle magazines such as black and white magazine dazed confused magazine flash art magazine soul mag achtung mode and many morefrom january 2011 he is the chief editor of the main latvian photography magazine fk magazine,Arnis Bal%C4%8Dus,Arnis Bal%C4%8Dus,2,9,2,user4,p2
Halyna Ovcharenko,dr halyna ovcharenko is an spnmshortlisted composer born in luhansk in ukraine halyna ovcharenko was given a scholarship at the age of eleven to the musical college of the kiev state tchaikovsky conservatory a specialist school for talented children after graduating in music from the conservatory she continued her study of composition in warsaw she subsequently taught composition and music theory at the kiev state conservatory and the sumy pedagogical institute also giving master classes in composition and authentic voice performance in poland and serbiahalyna ovcharenko is the director of the folk music ensemble malva and is a member of the union of ukrainian composers in 1996 she was given the overseas research scholarship to study for a phd in composition at university of bath amongst her works are pieces for solo piano piano and voice percussion chamber orchestra choir and symphony orchestra her work the sun scorched mallow for choir orchestra soloists and reciter was awarded first prize in the marian and ivanna kotz competition in 1992 in 1995 she was the winner of the international women composers competition in ukraine with her work everlasting for chamber orchestra and ensemble of authentic voicesamongst her works are pieces for solo instruments ensembles choirs chamber and symphony orchestras music for theatre and documentary film she has written two ballets one of them the last battle after cs lewis was successfully performed by the lcb at the peacock theatre and sadlers wells theatre in london the other kupalas night was selected by the iscm and was performed by the ljubljana national opera and ballet theatreshe won international competitions in 1992 and 1995 in 1992 she received the national leontovych prize recently she has received awards from the bliss trust the arts council england and the prs foundation her composition invocation of rain for four percussionists and authentic voice was performed at the festival in bucharest in 2004 and at the iscm world music days in zagreb in 2005 what the shaman saw was performed at the festival in bucharest in june 2005 string quartet was performed by the voller string quartet in bristol in may halyna has been offered a grant to work at the visby studio in september 2005halyna has taught composition and music theory at kiev state conservatory and the sumy pedagogical institute and has also given masterclasses in composition and authentic voice performance in poland and serbia,Halyna Ovcharenko,Halyna Ovcharenko,4,4,3,user4,p2
Karl Otto Thaning,karl otto thaning born may 9 1977 in cape town is a retired south african swimmer who specialized in freestyle eventsthaning represented his country in two sports playing water polo for south africa at the heliopolis tournament in cairo egypt in 2003 and later for swimming at numerous tournamentshe is a singletime olympian 2004 and has claimed numerous shortcourse south african titles in sprint freestyle both 50 and 100thaning qualified for the mens 4100 m medley relay as a member of the south african team at the 2004 summer olympics in athens teaming with gerhard zandberg terence parkin and eugene botes in heat two thaning anchored a freestyle leg to finish the race with a split of 4925 with the team finishing thirteenth overall in a final time of 34394he captained the national aquatic team to the commonwealth games in melbourne australia in 2006 during which he finished 9th in the 50 meter freestyle and anchored the freestyle leg of the mens 4 x 100 m medley relay to a 6th place finishsince he graduated from the university of the pacific in stockton california with a degree in theatre and film thaning returned home to cape town in 2002 and has since been seen in numerous local sitcoms and television shows he played as captain phillip brooks in a sevenpart miniseries feast of the uninvited directed by katinka heyns and gained acclaim in a us television show where he portrayed an adrenaline obsessed millionaire in 2010 thaning also acted in international films such as winnie which starred oscar actress and former american idol finalist jennifer hudson thaning has also starred as judge chan opposite karl urban in the film adaptation of the comic strip dredd other characters portrayed by thaning include omalley in black sails and jared taylor in saf3,Karl Otto Thaning,Karl Otto Thaning,1,8,3,user1,p2
Stewart Krentzman,stewart h krentzman march 30 1951 is founder of hummingbird enterprises inc a private holding company hummingbird enterprises is involved in several entrepreneurial startupsfrom 2003 until 2010 krentzman was the president and chief executive officer of oki data americas inc headquartered in mount laurel new jersey its parent company 62b oki electric is based in tokyo japankrentzman was selected by computer reseller news as one of the top 100 most influential executives in technology he was credited with creating a team that revitalized the oki americas product line expanding to new areas of printing in healthcare high end graphics and revamping the original equipment manufacturer sales strategy to include the companys light emitting diode led printing technologykrentzman is a 23 year sales and marketing veteran of unilever he lead brand teams using hyperlocal marketing techniques for lipton tea wishbone salad dressing fruit snacks and many other unilever food brandskrentzman along with several doctors trained at memorial sloan kettering cancer center consulted for sheik mohammed bin khalifa bin zayed al nahyan of the united arab eremites on a concierge medicine model in 2013between 2010 and 2011 he created a business plan for the jay monahan center for gastrointestinal health at new york presbyterian hospitalweill cornell medical college to expand the monahan model of more efficient and compassionate health care services to digestive healthcare groups outside of the nyc areahe serves on the board of new taste dimensions foods inc a company committed to return a portion of its profits to homeless children the company focuses on binding glutens and has worked with mcdonalds corporation in the united states hong kong and singaporealong with his son jeffrey they founded thebbqcleanercom a homebased business opportunity company that began in april 2009 and has expanded to 94 locations across the united stateskrentzman has founded and funded the development of a mobile and web based technology platform that is in prealpha test in center city philadelphiain may 2014 governor chris christie of new jersey nominated krentzman to serve as one of three consumer representatives to the medical practitioner review panel the panel is responsible to review medical malpractice and health care facility or health maintenance organization privilege caseskrentzman teaches marketing planning and strategy at new york universitys stern school of business mba program and a course entitled positioning and brand development at new york universitys school for professional studies,Stewart Krentzman,Stewart Krentzman,3,1,2, user3,p2
Laurens Bakker,laurens bakker is the original drummer for the dutch heavy metal band picturelaurens known as bakkie started playing drums in various bands including fase 5 and then john ridge and coccoon in 1977 he met up with rinus vreugdenhil and with various musicians started picture by 1979 jan bechtum and ronald van prooijen had joined the band for their first stable and the classic lineup he remained with the band through their eternal dark album but had to leave for personal reasons as the gruel of touring their bad luck with management and having to support a family took a tolllaruens influences included carmine appice vinnie appice john bonham phil rudd and cozy powell he used a rogers drums nine piece double bass set and paiste cymbals in late 2007 laurens and the original members of picture with ronald van prooijen teamed up for a reunion rehearsal it went so well that they decided to continue rehearsing for some concert dates and considered recording a new album in early 2008 with shmoulik avigal from the diamond dreamer lineup as their singeras of mid2008 a permanent lineup was established with laurens rinus vreugdenhil jan bechtum rob vanenkhuizen and pete lovell a limited edition live album was recorded at various venues and was released by the band as live 2008 plans were to go into the studio in early 2009 to record a new cd old dogs new tricks,Laurens Bakker,Laurens Bakker,5,5,4,user1,p2
Hugh Sweeny,hugh charles sweeny from dalby queensland along with 2 other sailors were the first australian pows captured in world war ii they were captured during the initial outbreak of fighting in the east african campaignon 9 august 1940 three volunteers from hmas hobart went ashore in response to an urgent request for artillery support for the hardpressed garrison petty officer hugh jones from kalgoorlie western australia able seaman william james hurren from sydney new south wales and able seaman hugh charles sweeny from dalby queensland were landed with a qf 3 pounder hotchkiss saluting gun on an improvised mounting a reinforced 44gallon drumby early the next morning they were in position manning the gun and dressed in military uniform on the main british defence line at tug argan gap some 60 kilometres south of berbera the fighting continued during the next five days but when the british evacuated between 1519 august the three australian sailors were reported missing believed killed in action 15 august 1940 instead they had been captured by the italians the first members of an australian unit taken prisoner of war pow during world war iithe three pows from hmas hobart were recovered from adi ugri in eritrea on 29 april 1941 after italian east africa fell to the british,Hugh Sweeny,Hugh Sweeny,1,7,5,user5,p2
Askale Tafa,askale tafa magarsa born september 27 1984 is an ethiopian long distance runner who has specialised in the marathon her sister tafa megersa mergertu is also a marathon runnerin 2005 she was third in the rome marathon in 2006 she won the milan marathon and was second at the berlin 25 km in 12813 the following year she won the dubai marathon and was first in the paris marathon in 22507 at the 2007 world championships in athletics in osaka she earned a 22nd place finishthe year 2008 began with third place at the dubai marathon with a time of 22323 finishing 41 seconds behind the winner in the boston marathon she was fifth in the 2008 berlin marathon she finished second in a new personal best time of 22131 she took part in the 2010 london marathon and finished fifth just behind her compatriots bezunesh bekele and aselefech mergia she was eleventh at the 2011 london marathon the following year she entered the 2011 chicago marathon but was slower than her typical pace and finished eighth overall she was the runnerup at the 2012 seoul international marathon finishing just behind compatriot feyse tadeseshe trains in europe with other members of the association rosa management group her husband tola debel gudeta is also a long distance runner with a pb of 223 hours in the marathon and 103 in the 20 km,Askale Tafa,Askale Tafa,2,4,1,user4,p2
Ammar Eloueini,ammar eloueini born 1968 in beirut lebanonammar eloueini frenchamerican born in lebanon is a registered architect who established aeds ammar eloueini digitall studio in paris in 1997 since 1999 the office has operated with locations in europe and the united statesaeds has completed projects at different scales in a range of geographic locations from object design such as urban furniture for the city of new orleans to six retail spaces in europe for japanese fashion designer issey miyake the office has developed an expertise in solving a wide range of design problems while serving a wide range of clients including the royal norwegian ministry of petroleum and energy the chicago museum of contemporary art and choreographer john jasperse in new york this diversity of clients and project locations has provided the opportunity to expand the offices commitment to innovation and design excellence aedss work has been recognized with a series of awards such as the new york architectural leagues emerging voices 2007 eleven aia design excellence awards and the french ministry of culture nouveaux albums des jeunes architectes 2002 the work of ammar eloueini is part of five permanent collections the museum of modern art moma in new york the centre pompidou in paris the canadian centre for architecture cca in montreal disseny hub barcelona dhub and the ogden museum of southern art in new orleansbetween 1999 and 2005 ammar eloueini chaired the digital media program as well as taught design studio theory and digital fabrication courses at the university of illinois at chicago currently eloueini is a professor at tulane university and regularly serves as thesis advisor at the ensci in parisammar eloueini received with honors the degree of diplm par le gouvernement from parisvillemin in 1994 and graduated with a master of science in advanced architectural design from columbia university in 1996 eloueini has participated in several symposia and exhibitions including mixing it up with mies at the canadian centre for architecture and the venice biennale in addition to several solo and group shows the work of ammar eloueini has been documented by two bilingual monographs published by damdi in korea and aadcu in china,Ammar Eloueini,Ammar Eloueini,1,3,2,user4,p2
Brian McGorry,brian paul mcgorry born 16 april 1970 in liverpool england is a former professional footballer who played most of his career as a midfieldermcgorry began his career as an apprentice with liverpool but on failing to make the grade joined weymouth who he left to join bournemouth for a fee of 30000 in august 1991 he played 61 times for the cherries before a 60000 move to peterborough united in february 1994 although a regular in the posh side he left to join wycombe wanderers on a free transfer in august 1995 but struggled to settle into the first team making only four appearances all as substitute in nearly two seasonshe joined cardiff city on loan in march 1996 and left wycombe to join hereford united on transfer deadline day in march 1997 to strengthen a weak midfield hereford were relegated at the end of the season but he remained at edgar street during their first season in the conference before moving to torquay united on a free transfer in july 1998 he played 34 times the following season but was released by wes saunders and joined telford united in august 1999 he settled in well at telford and was made club captain of a side including another former torquay player simon travis he remained parttime when telford went professional his commitments as a personal trainer ruling out a return to fulltime football on 17 july 2001 he left telford on a free transfer to join southporthe had a spell on loan with woking and in january 2002 joined his former southport manager mark wright at chester city in may 2002 mcgorry was transferlisted by chester and was released by mutual consent in july 2002 he joined tamworth that august in july 2003 he moved to nuneaton borough as playercoach he was transferlisted in october 2004 and was released in may 2005in january 2006 he joined the coaching staff at vauxhall motorssince retiring from professional football mcgorry started his own business in his native liverpool he is the founder member and owner of a company called executive personal training he is also running a btec physical education course at st margarets high school liverpool,Brian McGorry,Brian McGorry,4,9,5,user2,p2
Peter Gabriel,peter brian gabriel born 13 february 1950 is an english singersongwriter musician and humanitarian activist who rose to fame as the lead vocalist and flautist of the progressive rock band genesis after leaving genesis gabriel went on to a successful solo career with solsbury hill his first single his 1986 album so is his most commercially successful and is certified triple platinum in the uk and five times platinum in the us the albums biggest hit sledgehammer won a record nine mtv awards at the 1987 mtv video music awards and it remains the most played music video in the history of mtvgabriel has been a champion of world music for much of his career he cofounded the womad festival in 1982 he has continued to focus on producing and promoting world music through his real world records label he has also pioneered digital distribution methods for music cofounding od2 one of the first online music download services gabriel has been involved in numerous humanitarian efforts in 1980 he released the antiapartheid single biko he has participated in several human rights benefit concerts including amnesty internationals human rights now tour in 1988 and cofounded the witness human rights organisation in 1992 in collaboration with entrepreneur richard branson gabriel developed the elders which was launched by nelson mandela in 2007gabriel has won numerous music awards throughout his career including three brit awardswinning best british male in 1987 six grammy awards thirteen mtv video music awards the first pioneer award at the bt digital music awards and in 2007 he was honoured as a bmi icon at the 57th annual bmi london awards for his influence on generations of music makers in recognition of his many years of human rights activism he received the man of peace award from the nobel peace prize laureates in 2006 and in 2008 time magazine named gabriel one of the 100 most influential people in the world gabriel was also honoured with the q magazine lifetime achievement award in 2006 the ivor novello awards for lifetime achievement in 2007 and the polar music prize in 2009allmusic has described gabriel as one of rocks most ambitious innovative musicians as well as one of its most political he was inducted into the rock and roll hall of fame as a member of genesis in 2010 followed by his induction as a solo artist in 2014,Peter Gabriel,Peter Gabriel,4,7,5,user2,p2
